id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1235091941731098625,fabioruivo,".@CBF_Futebol @RedeGlobo @Ambev @CocaCola @itau @Hyundai_Global @magazineluiza @Nestle @oi_oficial @JNJNews @galvaobueno @AmazonasGoverno 

Thank you all!

#WorldCup2014
#PrayforAmazon https://t.co/CLLoqyoKUH",Wed Mar 04 06:37:20 +0000 2020,04/03/2020 06:37:20,,,,,17015247,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1164275859324309507/rX5EFFKN_normal.jpg,793,282,Pale Blue Dot,http://twitter.com/fabioruivo/statuses/1235091941731098625,"{""hashtags"":[{""text"":""WorldCup2014"",""indices"":[156,169]},{""text"":""PrayforAmazon"",""indices"":[170,184]}],""symbols"":[],""user_mentions"":[{""screen_name"":""CBF_Futebol"",""name"":""CBF Futebol"",""id"":35856249,""id_str"":""35856249"",""indices"":[1,13]},{""screen_name"":""RedeGlobo"",""name"":""Globo"",""id"":18219976,""id_str"":""18219976"",""indices"":[14,24]},{""screen_name"":""Ambev"",""name"":""Cervejaria Ambev"",""id"":119935574,""id_str"":""119935574"",""indices"":[25,31]},{""screen_name"":""CocaCola"",""name"":""Coca-Cola"",""id"":26787673,""id_str"":""26787673"",""indices"":[32,41]},{""screen_name"":""itau"",""name"":""Itaú"",""id"":179398386,""id_str"":""179398386"",""indices"":[42,47]},{""screen_name"":""Hyundai_Global"",""name"":""Hyundai Worldwide"",""id"":1088062616,""id_str"":""1088062616"",""indices"":[48,63]},{""screen_name"":""magazineluiza"",""name"":""Lu do Magalu"",""id"":43943121,""id_str"":""43943121"",""indices"":[64,78]},{""screen_name"":""Nestle"",""name"":""Nestlé"",""id"":23085995,""id_str"":""23085995"",""indices"":[79,86]},{""screen_name"":""oi_oficial"",""name"":""Oi"",""id"":17487043,""id_str"":""17487043"",""indices"":[87,98]},{""screen_name"":""JNJNews"",""name"":""Johnson & Johnson"",""id"":20457806,""id_str"":""20457806"",""indices"":[99,107]},{""screen_name"":""galvaobueno"",""name"":""Galvão Bueno"",""id"":871757503939346400,""id_str"":""871757503939346432"",""indices"":[108,120]},{""screen_name"":""AmazonasGoverno"",""name"":""Governo do Amazonas"",""id"":1067412276884488200,""id_str"":""1067412276884488193"",""indices"":[121,137]}],""urls"":[{""url"":""https://t.co/CLLoqyoKUH"",""expanded_url"":""https://twitter.com/businessinsider/status/1235086062420189184"",""display_url"":""twitter.com/businessinside…"",""indices"":[185,208]}]}"
1235071327775539200,jaimevargasnae,"RT @confeniae1: En las profundidades de la selva amazónica habita 1/3 de las especies que pueblan este planeta y se calcula que el 20% del agua potable disponible en el planeta se genera en este vasto ecosistema lleno de vida.

#AmazoníaSagrada #SacredHeadwaters #KeepItUnderground 
#ActForAmazon https://t.co/SGahx3e1q5",Wed Mar 04 05:15:25 +0000 2020,04/03/2020 05:15:25,,,,,890896112642646016,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/913532696617476098/W8_hQeAG_normal.jpg,37509,192,"Morona Santiago, Ecuador",http://twitter.com/jaimevargasnae/statuses/1235071327775539200,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""confeniae1"",""name"":""CONFENIAE"",""id"":1321462820,""id_str"":""1321462820"",""indices"":[3,14]}],""urls"":[]}"
1234968672856428544,WaoResistencia,"RT @confeniae1: En las profundidades de la selva amazónica habita 1/3 de las especies que pueblan este planeta y se calcula que el 20% del agua potable disponible en el planeta se genera en este vasto ecosistema lleno de vida.

#AmazoníaSagrada #SacredHeadwaters #KeepItUnderground 
#ActForAmazon https://t.co/SGahx3e1q5",Tue Mar 03 22:27:30 +0000 2020,03/03/2020 22:27:30,,,,,1100052094365720576,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1100056401186078720/-Ws-MTuj_normal.png,3237,865,,http://twitter.com/WaoResistencia/statuses/1234968672856428544,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""confeniae1"",""name"":""CONFENIAE"",""id"":1321462820,""id_str"":""1321462820"",""indices"":[3,14]}],""urls"":[]}"
1234963918734417928,confeniae1,"En las profundidades de la selva amazónica habita 1/3 de las especies que pueblan este planeta y se calcula que el 20% del agua potable disponible en el planeta se genera en este vasto ecosistema lleno de vida.

#AmazoníaSagrada #SacredHeadwaters #KeepItUnderground 
#ActForAmazon https://t.co/SGahx3e1q5",Tue Mar 03 22:08:37 +0000 2020,03/03/2020 22:08:37,,,1321462820,confeniae1,1321462820,1234963904691941376,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/996461396849250304/BHjmCdou_normal.jpg,33941,991,Amazonía Ecuatoriana,http://twitter.com/confeniae1/statuses/1234963918734417928,"{""hashtags"":[{""text"":""AmazoníaSagrada"",""indices"":[212,228]},{""text"":""SacredHeadwaters"",""indices"":[229,246]},{""text"":""KeepItUnderground"",""indices"":[247,265]},{""text"":""ActForAmazon"",""indices"":[267,280]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1234963907657203700,""id_str"":""1234963907657203724"",""indices"":[281,304],""media_url"":""http://pbs.twimg.com/media/ESN5IYJWAAwaig4.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ESN5IYJWAAwaig4.jpg"",""url"":""https://t.co/SGahx3e1q5"",""display_url"":""pic.twitter.com/SGahx3e1q5"",""expanded_url"":""https://twitter.com/confeniae1/status/1234963918734417928/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":680,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1000,""h"":1000,""resize"":""fit""},""medium"":{""w"":1000,""h"":1000,""resize"":""fit""}}}]}"
1234963918734417928,confeniae1,"En las profundidades de la selva amazónica habita 1/3 de las especies que pueblan este planeta y se calcula que el 20% del agua potable disponible en el planeta se genera en este vasto ecosistema lleno de vida.

#AmazoníaSagrada #SacredHeadwaters #KeepItUnderground 
#ActForAmazon https://t.co/SGahx3e1q5",Tue Mar 03 22:08:37 +0000 2020,03/03/2020 22:08:37,,,1321462820,confeniae1,1321462820,1234963904691941376,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/996461396849250304/BHjmCdou_normal.jpg,33941,991,Amazonía Ecuatoriana,http://twitter.com/confeniae1/statuses/1234963918734417928,"{""hashtags"":[{""text"":""AmazoníaSagrada"",""indices"":[212,228]},{""text"":""SacredHeadwaters"",""indices"":[229,246]},{""text"":""KeepItUnderground"",""indices"":[247,265]},{""text"":""ActForAmazon"",""indices"":[267,280]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1234963907657203700,""id_str"":""1234963907657203724"",""indices"":[281,304],""media_url"":""http://pbs.twimg.com/media/ESN5IYJWAAwaig4.jpg"",""media_url_https"":""https://pbs.twimg.com/media/ESN5IYJWAAwaig4.jpg"",""url"":""https://t.co/SGahx3e1q5"",""display_url"":""pic.twitter.com/SGahx3e1q5"",""expanded_url"":""https://twitter.com/confeniae1/status/1234963918734417928/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":680,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1000,""h"":1000,""resize"":""fit""},""medium"":{""w"":1000,""h"":1000,""resize"":""fit""}}}]}"